raw_comment,clean_comment
Might guy with 8 gates,might guy with 8 gates
never let bro cook again,never let bro cook again
Bro itachi fans like here 😅,bro itachi fans like here
"U forgot shibai and otsutsuki god, good video",u forgot shibai and otsutsuki god good video
"Shibai be like ''me is duniya ka papa hun papa""",shibai be like me is duniya ka papa hun papa
What about Might Guy,what about might guy
Bro Naruto baryon mode ???,bro naruto baryon mode
Bro forgot Might Guy 8 inner gate formation,bro forgot might guy 8 inner gate formation
Best edit i ever seen ❤🎉,best edit i ever seen
What about might guy 8 gates 😢😢,what about might guy 8 gates
Buddy this guy took this list outa his ass,buddy this guy took this list outa his ass
"Put Kakashi here is a thing but placing him over Hashirama is beyond level of glaze, also leaving out Nagato, Itachi, and Might guy who are by far superior (they even folded him)",put kakashi here is a thing but placing him over hashirama is beyond level of glaze also leaving out nagato itachi and might guy who are by far superior they even folded him
Bro rate hashirama below kakashi 😂,bro rate hashirama below kakashi
"Bro you forget the legend 
The god of genjutsu",bro you forget the legend the god of genjutsu
What about Night Guy?? 😂,what about night guy
MIGHT GUY 8 GATES🥷💪👊🥇💯🐲🐉🤛❤️‍🔥,might guy 8 gates
You forgot to put might guy in,you forgot to put might guy in
Shibai laughing at corner 😂😂,shibai laughing at corner
Shibai ain't pooping,shibai aint pooping
Think orochimaru with sharingan could be strongest only if his plan succeeded,think orochimaru with sharingan could be strongest only if his plan succeeded
Seriously hasirama should be on 4 or 5,seriously hasirama should be on 4 or 5
"Nah, with that genjitsu itachi has there’s no way he ain’t on that list",nah with that genjitsu itachi has theres no way he aint on that list
Where is Shibai Otsutsuki??,where is shibai otsutsuki
those who said itachi....,those who said itachi
bro i thought Number got defeated by narato,bro i thought number got defeated by narato
Bah ki sundor ranking 😂,bah ki sundor ranking
Bro where is shibai,bro where is shibai
prime alive sage mode hashirama was stronger than Sasuke,prime alive sage mode hashirama was stronger than sasuke
